itemid,title,publisher
65541364,앤트맨 Vol.1 : 두 번 사는 남자,sigongsa
65541459,왕좌의 게임 그래픽 노블 2,sigongsa
66087482,리처드 스타크의 파커 : 스코어,sigongsa
66936901,가디언즈 오브 더 갤럭시 Vol.2 : 안젤라,sigongsa
66937727,페이블즈 디럭스 에디션 6,sigongsa
67103619,이리디머블 앤트 맨 2,sigongsa
68940597,킥애스 3,sigongsa
68940948,스타워즈 : 다스 베이더와 아들,sigongsa
68941397,스타워즈 : 베이더의 꼬마 공주님,sigongsa
68941776,그린 랜턴 Green Lantern : 에이전트 오렌지,sigongsa
68942211,그린 랜턴 군단 Green Lantern Corps : 에메랄드 이클립스,sigongsa
70875799,스타워즈 다스 베이더 Vol.1 : 베이더,sigongsa
70876340,파이널 크라이시스,sigongsa
70876837,그린 애로우 : 롱보우 헌터스,sigongsa
70877031,스타워즈 Vol.1 : 스카이워커의 일격,sigongsa
72008013,스타워즈 : 레아 공주,sigongsa
72008350,스타워즈 : 제국의 와해,sigongsa
75028779,파이널 크라이시스 : 세 세계의 리전,sigongsa
75501654,데드풀의 마블 유니버스 죽이기,sigongsa
76101020,마블 나우! 어메이징 스파이더맨 VOL. 1 : 파커의 운수,sigongsa
76101491,마블 나우! 어메이징 스파이더맨 VOL. 2 : 스파이더버스 전주곡,sigongsa
78081684,마블 나우! 어메이징 스파이더맨 VOL. 3 : 스파이더버스,sigongsa
79723927,(뉴 52) 저스티스 리그 1 : 탄생,sigongsa
79725078,인저스티스 : 갓 어몽 어스 Vol. 1,sigongsa
79724226,(뉴 52) 원더 우먼 1 : 피,sigongsa
80250447,(뉴 52) 수어사이드 스쿼드 1 : 난장판,sigongsa
80250752,(뉴 52) 할리 퀸 1 : 도시의 불꽃 유망주,sigongsa
80250783,(뉴 52) 배트맨 이터널 1,sigongsa
80250869,슈피리어 스파이더맨 1 : 내 최악의 적,sigongsa
80336495,(뉴 52) 배트맨 7 : 엔드 게임,sigongsa
81748530,시빌 워 : 울버린,sigongsa
81748987,호크아이 Vol.1 : 인간병기,sigongsa
82135628,시빌 워 : 프론트 라인 1,sigongsa
82136023,시빌 워 : 프론트 라인 2,sigongsa
82242404,블랙키스트 나이트,sigongsa
82242424,(뉴 52) 배트맨 이터널 2,sigongsa
83466788,캡틴 아메리카 : 얼굴 없는 사나이,sigongsa
83919000,슈피리어 스파이더맨 2 : 농담의 위험성,sigongsa
84000687,(뉴 52) 배트맨 이터널 3,sigongsa
84001017,블랙키스트 나이트 : 그린 랜턴,sigongsa
84001313,왕좌의 게임 그래픽 노블 3,sigongsa
84001902,페이블즈 디럭스 에디션 7,sigongsa
84002281,엑스맨 : 에이지 오브 아포칼립스 Vol.1 알파,sigongsa
86070737,(뉴 52) 수어사이드 스쿼드 2 : 바실리스크 라이징,sigongsa
86070888,어나일레이션 : 컨퀘스트 Book 1,sigongsa
86229166,(뉴 52) 할리 퀸 2 : 나가 버린 파워,sigongsa
86229296,블랙키스트 나이트 : 그린 랜턴 군단,sigongsa
86230102,어나일레이션 : 컨퀘스트 Book 2,sigongsa
87628752,미즈 마블 1,sigongsa
87629319,플래시 : 리버스,sigongsa
87629475,FF 에프에프 1,sigongsa
87825214,(뉴 52) 저스티스 리그 2 : 악인의 여정,sigongsa
87825453,시크릿 어벤저스 1 : 미션 투 마스,sigongsa
87825768,블랙키스트 나이트 : 군단 이야기,sigongsa
89942452,FF 에프에프 2,sigongsa
89942482,시크릿 어벤저스 2 : 용의 눈,sigongsa
89943020,호크아이 Vol.2 : 소소한 사건들,sigongsa
90048169,인저스티스 : 갓 어몽 어스 Vol. 2,sigongsa
90048942,블랙키스트 나이트 : 블랙 랜턴 군단 Vol. 1,sigongsa
90188631,페이블즈 디럭스 에디션 8,sigongsa
92511137,페이블즈 디럭스 에디션 9,sigongsa
92636547,블랙키스트 나이트 : 블랙 랜턴 군단 Vol. 2,sigongsa
92636557,아이언 맨 : 병 속의 악마,sigongsa
92636560,블랙키스트 나이트 : 블랙 랜턴 라이즈,sigongsa
92703258,미라클 맨 Book 3,sigongsa
94722245,닥터 스트레인지 : 서약,sigongsa
94875296,스타워즈 Vol.2 : 밀수꾼 위성의 결전,sigongsa
94953495,미즈 마블 2,sigongsa
94962075,페이블즈 디럭스 에디션 10,sigongsa
95204503,스타워즈 다스 베이더 Vol.2 : 그림자와 비밀,sigongsa
95204854,스타워즈 : 다스 베이더와 친구들,sigongsa
95204924,스타워즈 : 잘 자요 다스 베이더,sigongsa
96673230,스파이 vs 스파이 : 블랙(& 화이트) 작전,sigongsa
97411256,스타워즈 다스 베이더 Vol.3 : 슈토룬 전쟁,sigongsa
97412235,스타워즈 : 베이더 다운,sigongsa
97597639,스타워즈 Vol.3 : 반란군 요새,sigongsa
97597916,겟 지로,sigongsa
98683799,(뉴 52) 원더 우먼 2 : 기백,sigongsa
98907905,샌드맨 The SandMan : 서곡 디럭스 에디션,sigongsa
101106033,스파이더맨 / 데드풀 VOL. 1 : 브로맨틱하지 않나요?,sigongsa
101293787,(뉴 52) 배트맨 8 : 슈퍼헤비,sigongsa
101294058,사가 Vol. 1,sigongsa
101294809,사가 Vol. 2,sigongsa
101295216,데드풀 Vol. 1,sigongsa
102498802,엑스맨 : 데들리 제네시스,sigongsa
102498235,언캐니 엑스맨 : 시아 제국의 흥망,sigongsa
103372503,(뉴 52) 저스티스 리그 3 : 아틀란티스의 왕좌,sigongsa
103372717,플래시 Vol. 1 : 앞으로,sigongsa
103373604,슈피리어 스파이더맨 3 : 탈출구는 없다,sigongsa
103373649,데어데블 얼티밋 컬렉션 1,sigongsa
103849532,울버린 : 올드 맨 로건,sigongsa
105357879,슈피리어 스파이더맨 4 : 필요악,sigongsa
105914019,가디언즈 오브 더 갤럭시 Vol.3 : 가디언즈 디스어셈블드,sigongsa
105914326,(뉴 52) 배트맨 9 : 블룸,sigongsa
105914844,아쿠아맨 Vol.1 : 해구 괴물,sigongsa
105973280,(뉴 52) 원더 우먼 3 : 철,sigongsa
106100643,데드풀 Vol. 2,sigongsa
106779004,미즈 마블 3,sigongsa
107795121,고담 센트럴 Book 1 : 사건 현장,sigongsa
107848167,사가 Vol. 3,sigongsa
107848367,디센더 Vol. 1 : 깡통 별,sigongsa
107848533,디센더 Vol. 2 : 기계 달,sigongsa
107971987,호크아이 Vol.3 : LA 우먼,sigongsa
107975991,가디언즈 오브 더 갤럭시 Vol.4 : 원죄,sigongsa
107981012,어벤저스 Vol.1,sigongsa
107981148,슈퍼맨 언체인드,sigongsa
109969357,(뉴 52) 원더 우먼 4 : 전쟁,sigongsa
109969516,(뉴 52) 배트맨 10 : 에필로그,sigongsa
109969829,배트맨 앤드 선,sigongsa
109970293,슈피리어 스파이더맨 5 : 슈피리어 베놈,sigongsa
109970544,어벤저스 Vol.2,sigongsa
111989126,인휴먼즈 : 타고난 권리로,sigongsa
111993781,슈피리어 스파이더맨 6 : 고블린 왕국,sigongsa
112065797,배트맨 & 로빈 : 배트맨 부활,sigongsa
112066349,인휴먼즈,sigongsa
112066620,데이트리퍼: 디럭스 에디션,sigongsa
112066700,호크아이 Vol.4 : 리오 브라보,sigongsa
112067111,배트맨 R.I.P,sigongsa
114378665,페이블즈 디럭스 에디션 11,sigongsa
114381211,플래시 Vol. 2 : 로그즈의 반란,sigongsa
114381497,뉴 어벤저스 Vol.1 : Everything Dies,sigongsa
114381647,배트맨 : 타임 앤드 배트맨,sigongsa
114383252,배트맨: 리턴 오브 브루스 웨인,sigongsa
114383648,사일런트 워,sigongsa
116441275,사가 Vol. 4,sigongsa
116441709,슈퍼맨 액션 코믹스 Vol.1,sigongsa
116441980,배트맨 & 로빈 : 배트맨 & 로빈 머스트 다이!,sigongsa
116442190,배트맨 & 로빈 : 배트맨 VS. 로빈,sigongsa
116442409,워 오브 킹즈,sigongsa
118404348,아메리칸 뱀파이어 Vol. 1,sigongsa
118404544,아쿠아맨 Vol.2 :  디 아더스,sigongsa
118404737,(뉴 52) 배트맨 Vol.1 : 올빼미 법정,sigongsa
118404785,스파이더맨 / 데드풀 VOL. 2 : 작은 이야기들,sigongsa
118404896,아메리칸 뱀파이어 Vol. 2,sigongsa
118404927,(뉴 52) 배트맨 Vol.2 : 올빼미 도시,sigongsa
118405261,배트맨: 할리 퀸,sigongsa
118405302,뉴 어벤저스 Vol.2 : Infinity,sigongsa
118532755,페이블즈 디럭스 에디션 12,sigongsa
119595892,토르 천둥의 신 Vol.1 : 신 도살자,sigongsa
120064425,슈퍼맨 액션 코믹스 Vol.2,sigongsa
120064673,저스티스 리그 :  위대한 승리,sigongsa
120080968,맨해튼 프로젝트 Vol.1,sigongsa
120081364,맨해튼 프로젝트 Vol.2,sigongsa
120083807,(뉴 52) 저스티스 리그 4 : 그리드,sigongsa
120085630,시크릿 오리진스 Vol.1,sigongsa
120086686,시크릿 오리진스 Vol.2,sigongsa
123700372,판타스틱 포 Vol.5,sigongsa
123700950,렐름 오브 킹즈,sigongsa
123784848,데어데블 얼티밋 컬렉션 2,sigongsa
123785206,판타스틱 포 Vol.6,sigongsa
123791104,인휴먼 Vol.1 : 제네시스,sigongsa
123797816,인휴먼 Vol.2 : 액시스,sigongsa
125243967,리처드 스타크의 파커 : 슬레이그라운드,sigongsa
125323129,스타워즈 다스 베이더 Vol.4 : 게임의 끝,sigongsa
128871017,젠틀맨 리그 : 비범한 신사 연맹 - 검은 서류,sigongsa
126663464,고담 센트럴 Book 2 : 광대와 광인들,sigongsa
126664649,네모 : 얼음 심장,sigongsa
126675598,배트맨 : 노엘,sigongsa
129859954,(뉴 52) 원더 우먼 5 : 살,sigongsa
129860808,데드풀 : 떠버리 용병을 그리다,sigongsa
130809800,헬보이 Hellboy 1,sigongsa
131658381,배트맨 : 다크 나이트 리턴즈 30주년 에디션,sigongsa
131658449,블랙 팬서 : 블랙 팬서는 누구인가?,sigongsa
131659436,젠틀맨 리그 : 비범한 신사 연맹 3 - 백 년,sigongsa
131661237,(뉴 52) 저스티스 리그 5 : 포에버 히어로즈,sigongsa
134976738,아쿠아맨 Vol.3 : 아틀란티스의 왕좌,sigongsa
135012582,(뉴 52) 원더 우먼 6 : 뼈,sigongsa
135012672,사가 Vol. 5,sigongsa
135013270,배트맨 : 킬링 조크,sigongsa
135551426,(뉴 52) 저스티스 리그 6 : 인저스티스 리그,sigongsa
135552362,잭 커비 앤솔로지,sigongsa
138375431,저스티스 리그 : 트리니티 워,sigongsa
138377926,스타워즈 Vol.4 : 하빈저 최후의 비행,sigongsa
138378963,(뉴 52) 저스티스 리그 포에버 이블,sigongsa
138382761,배트맨 : 이어 원 디럭스 에디션,sigongsa
138383406,헬보이 Hellboy 2,sigongsa
138386037,스타워즈 : 한 솔로,sigongsa
141295874,타노스 임페러티브,sigongsa
141295880,인피니티,sigongsa
141319787,마블 스튜디오 어벤저스 : 인피니티 워 프렐류드,sigongsa
142110730,데드풀 vs. 타노스,sigongsa
143143276,마블스,sigongsa
143143291,뉴 어벤저스 Vol.3 : Other Worlds,sigongsa
143143292,데드풀 Vol. 3,sigongsa
146565900,아쿠아맨 Vol.4 : 왕의 죽음,sigongsa
146970285,뉴 어벤저스 Vol.4 : A Perfect World,sigongsa
146970397,(뉴 52) 저스티스 리그 7 : 다크사이드 워 PART 1,sigongsa
146970594,마블 나우! 어메이징 스파이더맨 VOL. 4 : 밤손님,sigongsa
146971188,디센더 Vol. 3 : 특이점,sigongsa
147874168,스파이더맨 / 데드풀 VOL. 3 : 잇시 빗시,sigongsa
147874266,데드풀 & 케이블 2,sigongsa
147931144,어벤저스 Vol.3,sigongsa
147931262,페이블즈 디럭스 에디션 13,sigongsa
149309332,(뉴 52) 저스티스 리그 8 : 다크사이드 워 PART 2,sigongsa
151332058,아메리칸 뱀파이어 Vol. 3,sigongsa
151523600,고담 센트럴 Book 3 : 변종 순찰,sigongsa
151523602,앤트맨과 와스프 프렐류드,sigongsa
151524111,어두운 밤 : 진짜 배트맨 이야기,sigongsa
151524301,어메이징 스파이더맨 : 다잉 위시,sigongsa
152188714,스파이더맨 / 데드풀 VOL. 0 : 이건 팀업이 아니야,sigongsa
156519530,토르 천둥의 신 Vol.2 : 신폭탄,sigongsa
157656177,헬보이 Hellboy 3,sigongsa
158316597,배트맨 Vol.1 : 나는 고담이다,sigongsa
158316924,슈퍼맨 Vol. 1 : 슈퍼맨의 아들,sigongsa
158317701,플래시 Vol. 1 : 번개는 두 번 친다,sigongsa
158380348,사가 Vol. 6,sigongsa
158380626,DC 유니버스 리버스 : 디럭스 에디션,sigongsa
163232150,(뉴 52) 배트맨 Vol.3 : 가족의 죽음,sigongsa
163232626,수어사이드 스쿼드 Vol. 1 : 블랙 볼트,sigongsa
163675863,아메리칸 뱀파이어 Vol. 4,sigongsa
163676614,배트맨 디텍티브 코믹스 Vol.1 : 배트맨들의 출현,sigongsa
164081860,(뉴 52) 배트맨 Vol.4 : 제로 이어 - 비밀의 도시,sigongsa
164088107,캡틴 아메리카 : 로드 투 리본,sigongsa
168458083,헬보이 Hellboy 4,sigongsa
168674629,어메이징 스파이더맨 : 원 모어 데이,sigongsa
168674969,아쿠아맨 Vol.1 : 침몰,sigongsa
168675223,올스타 배트맨 Vol.1 : 내 최악의 적,sigongsa
168718381,캡틴 아메리카 : 리본,sigongsa
168718485,데드풀 Vol. 4,sigongsa
168719150,미즈 마블 4,sigongsa
171159493,수어사이드 스쿼드 Vol. 2 : 제정신으로,sigongsa
171159633,스타워즈 : 메이드 이지,sigongsa
171159757,디센더 Vol. 4 : 궤도 역학,sigongsa
171159798,가디언즈 오브 더 갤럭시 Vol.5 : 거울에 비친 나,sigongsa
171255555,배트맨 : 몬스터 맨들의 밤,sigongsa
171256645,"슈퍼맨 Vol. 2 : 슈퍼 선, 시험받다",sigongsa
171257057,페이블즈 디럭스 에디션 14,sigongsa
173872321,토르 천둥의 신 Vol.3 : 저주받은 자,sigongsa
173876508,배트맨 Vol.2 : 나는 자살이다,sigongsa
174227692,액션 코믹스 #1000 디럭스 에디션,sigongsa
174227757,FF 에프에프 3,sigongsa
174227772,디센더 Vol. 5 : 로봇의 봉기,sigongsa
174228469,배트맨 디텍티브 코믹스 Vol.2 : 빅팀 신디케이트,sigongsa
174274719,사가 Vol. 7,sigongsa
174275002,FF 에프에프 4,sigongsa
174275311,올스타 배트맨 Vol.2 : 지구의 끝,sigongsa
175997768,데어데블 얼티밋 컬렉션 3,sigongsa
176410106,스타워즈 Vol.5 : 요다의 비밀 전쟁,sigongsa
176410651,엑스맨 : 신은 사랑하고 인간은 살해한다,sigongsa
176657260,페이블즈 디럭스 에디션 15,sigongsa
176658353,배트맨 : 다크 프린스 차밍,sigongsa
176658887,스타워즈 : 오비완과 아나킨,sigongsa
179221598,시크릿 엠파이어 전주곡,sigongsa
178986701,닥터 스트레인지 Vol.1,sigongsa
178987104,언캐니 어벤저스 Vol.1,sigongsa
178987157,플래시 Vol. 2 : 어둠의 속도,sigongsa
178987788,인빈시블 아이언 맨 Vol. 1: 리부트,sigongsa
179220089,언캐니 어벤저스 Vol.2,sigongsa
179220569,비전 Vol. 1 : 인간보다 못할 것 없는,sigongsa
179221181,어벤저스 : 타임 런즈 아웃,sigongsa
182498415,헬보이 Hellboy 5,sigongsa
183765406,배트맨 Vol.3 : 나는 베인이다,sigongsa
183765937,플래시 Vol. 3 : 로그즈 재장전,sigongsa
183766622,펑크 록 지저스,sigongsa
183604470,라이프 오브 캡틴 마블,sigongsa
186770295,시빌 워 2 : 후유증,sigongsa
187039128,헬보이 Hellboy 6,sigongsa
187039410,샤잠! 오리진스,sigongsa
189556431,왓치맨 디럭스 에디션,sigongsa
188276105,시빌 워 2 스페셜 에디션 (한정판),sigongsa
188276318,올뉴 올디퍼런트 어벤저스,sigongsa
188276452,비전 Vol. 2 : 짐승보다 나을 것 없는,sigongsa
188276527,시빌 워 2,sigongsa
188276428,마블 스튜디오 어벤저스 : 엔드게임 프렐류드,sigongsa
189555968,사가 Vol. 8,sigongsa
189556234,스파이더맨 : 블루,sigongsa
